race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes,course_id,cup,nth_race,debut_console,selected
57,Merry Mountain,150,10,Dragon Driftway,1,10.00%,71,Moon,3,Switch,False
57,Merry Mountain,150,10,SNES Donut Plains 3,3,30.00%,71,Moon,3,Switch,False
57,Merry Mountain,150,10,Merry Mountain,3,30.00%,71,Moon,3,Switch,True
57,Merry Mountain,150,10,Random,3,30.00%,71,Moon,3,Switch,False
58,Wii Mushroom Gorge,150,12,Wii Koopa Cape,3,25.00%,63,Propeller,3,Wii,False
58,Wii Mushroom Gorge,150,12,SNES Mario Circuit 3,4,33.33%,63,Propeller,3,Wii,False
58,Wii Mushroom Gorge,150,12,DS Shroom Ridge,3,25.00%,63,Propeller,3,Wii,False
58,Wii Mushroom Gorge,150,12,Wii Mushroom Gorge,1,8.33%,63,Propeller,3,Wii,True
59,Wii Koopa Cape,150,12,Wii Koopa Cape,3,25.00%,87,Cherry,3,Wii,True
59,Wii Koopa Cape,150,12,Tour Athens Dash,2,16.67%,87,Cherry,3,Wii,False
59,Wii Koopa Cape,150,12,N64 Rainbow Road,3,25.00%,87,Cherry,3,Wii,False
59,Wii Koopa Cape,150,12,Random,4,33.33%,87,Cherry,3,Wii,False
60,Dolphin Shoals,150,12,Dragon Driftway,2,16.67%,10,Star,2,Wii U,False
60,Dolphin Shoals,150,12,Dolphin Shoals,2,16.67%,10,Star,2,Wii U,True
60,Dolphin Shoals,150,12,3DS Rock Rock Mountain,7,58.33%,10,Star,2,Wii U,False
60,Dolphin Shoals,150,12,Random,1,8.33%,10,Star,2,Wii U,False
61,SNES Mario Circuit 3,150,12,DS Waluigi Pinball,4,33.33%,58,Turnip,2,SNES,False
61,SNES Mario Circuit 3,150,12,3DS Piranha Plant Slide,1,8.33%,58,Turnip,2,SNES,False
61,SNES Mario Circuit 3,150,12,N64 Toad's Turnpike,3,25.00%,58,Turnip,2,SNES,False
61,SNES Mario Circuit 3,150,12,SNES Mario Circuit 3,1,8.33%,58,Turnip,2,SNES,True
61,SNES Mario Circuit 3,150,12,Random,3,25.00%,58,Turnip,2,SNES,False
62,Wild Woods,150,12,GCN Dry Dry Desert,3,25.00%,23,Crossing,3,Wii U,False
62,Wild Woods,150,12,GBA Sky Garden,5,41.67%,23,Crossing,3,Wii U,False
62,Wild Woods,150,12,Wild Woods,1,8.33%,23,Crossing,3,Wii U,True
62,Wild Woods,150,12,Random,2,16.67%,23,Crossing,3,Wii U,False
62,Wild Woods,150,12,Bone-Dry Dunes,1,8.33%,23,Crossing,3,Wii U,False
63,Ice Ice Outpost,150,11,Ice Ice Outpost,2,18.18%,43,Triforce,3,Wii U,True
63,Ice Ice Outpost,150,11,Random,4,36.36%,43,Triforce,3,Wii U,False
63,Ice Ice Outpost,150,11,N64 Yoshi Valley,4,36.36%,43,Triforce,3,Wii U,False
63,Ice Ice Outpost,150,11,Tour Athens Dash,1,9.09%,43,Triforce,3,Wii U,False
64,Yoshi's Island,150,12,3DS Rainbow Road,1,8.33%,76,Fruit,4,Switch,False
64,Yoshi's Island,150,12,Super Bell Subway,3,25.00%,76,Fruit,4,Switch,False
64,Yoshi's Island,150,12,Random,4,33.33%,76,Fruit,4,Switch,False
64,Yoshi's Island,150,12,Yoshi's Island,1,8.33%,76,Fruit,4,Switch,True
64,Yoshi's Island,150,12,Tour Rome Avanti,3,25.00%,76,Fruit,4,Switch,False
65,Merry Mountain,150,12,Squeaky Clean Sprint,3,25.00%,71,Moon,3,Switch,False
65,Merry Mountain,150,12,Merry Mountain,1,8.33%,71,Moon,3,Switch,True
65,Merry Mountain,150,12,Random,5,41.67%,71,Moon,3,Switch,False
65,Merry Mountain,150,12,Tour Rome Avanti,2,16.67%,71,Moon,3,Switch,False
65,Merry Mountain,150,12,Tour Vancouver Velocity,1,8.33%,71,Moon,3,Switch,False
66,Wii Daisy Circuit,150,9,Mario Kart Stadium,4,44.44%,91,Acorn,3,Wii,False
66,Wii Daisy Circuit,150,9,Random,3,33.33%,91,Acorn,3,Wii,False
66,Wii Daisy Circuit,150,9,3DS Music Park,1,11.11%,91,Acorn,3,Wii,False
66,Wii Daisy Circuit,150,9,Wii Daisy Circuit,1,11.11%,91,Acorn,3,Wii,True
67,GCN Baby Park,150,12,Wii Daisy Circuit,6,50.00%,21,Crossing,1,GCN,False
67,GCN Baby Park,150,12,Animal Crossing,2,16.67%,21,Crossing,1,GCN,False
67,GCN Baby Park,150,12,Random,3,25.00%,21,Crossing,1,GCN,False
67,GCN Baby Park,150,12,GCN Baby Park,1,8.33%,21,Crossing,1,GCN,True
68,Twisted Mansion,150,9,Bowser's Castle,2,22.22%,7,Flower,3,Wii U,False
68,Twisted Mansion,150,9,Super Bell Subway,2,22.22%,7,Flower,3,Wii U,False
68,Twisted Mansion,150,9,Random,3,33.33%,7,Flower,3,Wii U,False
68,Twisted Mansion,150,9,Twisted Mansion,1,11.11%,7,Flower,3,Wii U,True
68,Twisted Mansion,150,9,Tour Rome Avanti,1,11.11%,7,Flower,3,Wii U,False
69,DS Peach Gardens,150,12,3DS Toad Circuit,6,50.00%,70,Moon,2,DS,False
69,DS Peach Gardens,150,12,DS Peach Gardens,1,8.33%,70,Moon,2,DS,True
69,DS Peach Gardens,150,12,Random,2,16.67%,70,Moon,2,DS,False
69,DS Peach Gardens,150,12,N64 Toad's Turnpike,2,16.67%,70,Moon,2,DS,False
69,DS Peach Gardens,150,12,Super Bell Subway,1,8.33%,70,Moon,2,DS,False
70,Wild Woods,150,12,Wild Woods,3,25.00%,23,Crossing,3,Wii U,True
70,Wild Woods,150,12,Random,6,50.00%,23,Crossing,3,Wii U,False
70,Wild Woods,150,12,Rainbow Road,3,25.00%,23,Crossing,3,Wii U,False
71,Tour Madrid Drive,150,12,Rainbow Road,4,33.33%,93,Spiny,1,Tour,False
71,Tour Madrid Drive,150,12,Random,5,41.67%,93,Spiny,1,Tour,False
71,Tour Madrid Drive,150,12,Tour Madrid Drive,1,8.33%,93,Spiny,1,Tour,True
71,Tour Madrid Drive,150,12,GBA Cheese Land,2,16.67%,93,Spiny,1,Tour,False
72,Wii Daisy Circuit,150,7,Hyrule Circuit,4,57.14%,91,Acorn,3,Wii,False
72,Wii Daisy Circuit,150,7,Random,1,14.29%,91,Acorn,3,Wii,False
72,Wii Daisy Circuit,150,7,Wii Daisy Circuit,2,28.57%,91,Acorn,3,Wii,True
73,Bowser's Castle,150,8,Bowser's Castle,5,62.50%,15,Special,3,Wii U,True
73,Bowser's Castle,150,8,Tour Singapore Speedway,1,12.50%,15,Special,3,Wii U,False
73,Bowser's Castle,150,8,Random,1,12.50%,15,Special,3,Wii U,False
73,Bowser's Castle,150,8,Thwomp Ruins,1,12.50%,15,Special,3,Wii U,False
