race_id,selected_course,race_speed,num_racers,voted_course,num_votes,pct_votes
67,GCN Baby Park,150,12,Animal Crossing,2,16.67%
67,GCN Baby Park,150,12,Random,3,25.00%
67,GCN Baby Park,150,12,GCN Baby Park,1,8.33%
68,Twisted Mansion,150,9,Bowser's Castle,2,22.22%
68,Twisted Mansion,150,9,Super Bell Subway,2,22.22%
68,Twisted Mansion,150,9,Random,3,33.33%
68,Twisted Mansion,150,9,Twisted Mansion,1,11.11%
68,Twisted Mansion,150,9,Tour Rome Avanti,1,11.11%
69,DS Peach Gardens,150,12,3DS Toad Circuit,6,50.00%
69,DS Peach Gardens,150,12,DS Peach Gardens,1,8.33%
69,DS Peach Gardens,150,12,Random,2,16.67%
69,DS Peach Gardens,150,12,N64 Toad's Turnpike,2,16.67%
69,DS Peach Gardens,150,12,Super Bell Subway,1,8.33%
70,Wild Woods,150,12,Wild Woods,3,25.00%
70,Wild Woods,150,12,Random,6,50.00%
70,Wild Woods,150,12,Rainbow Road,3,25.00%
71,Tour Madrid Drive,150,12,Rainbow Road,4,33.33%
71,Tour Madrid Drive,150,12,Random,5,41.67%
71,Tour Madrid Drive,150,12,Tour Madrid Drive,1,8.33%
71,Tour Madrid Drive,150,12,GBA Cheese Land,2,16.67%
72,Wii Daisy Circuit,150,7,Hyrule Circuit,4,57.14%
72,Wii Daisy Circuit,150,7,Random,1,14.29%
72,Wii Daisy Circuit,150,7,Wii Daisy Circuit,2,28.57%
73,Bowser's Castle,150,8,Bowser's Castle,5,62.50%
73,Bowser's Castle,150,8,Tour Singapore Speedway,1,12.50%
73,Bowser's Castle,150,8,Random,1,12.50%
73,Bowser's Castle,150,8,Thwomp Ruins,1,12.50%
74,Mario Circuit,150,10,Mario Circuit,3,30.00%
74,Mario Circuit,150,10,Rainbow Road,2,20.00%
74,Mario Circuit,150,10,Tour Amsterdam Drift,1,10.00%
74,Mario Circuit,150,10,Random,4,40.00%
75,GCN Sherbet Land,150,11,Wii Coconut Mall,5,45.45%
75,GCN Sherbet Land,150,11,GCN Sherbet Land,2,18.18%
75,GCN Sherbet Land,150,11,Random,4,36.36%
76,N64 Toad's Turnpike,150,12,GBA Sunset Wilds,2,16.67%
76,N64 Toad's Turnpike,150,12,Tour Singapore Speedway,1,8.33%
76,N64 Toad's Turnpike,150,12,N64 Toad's Turnpike,4,33.33%
76,N64 Toad's Turnpike,150,12,Random,5,41.67%
77,GBA Cheese Land,150,9,Wii Wario's Gold Mine,2,22.22%
